"H9047","801","0"
"H2256","015","2"
"H4837","001","0"
"H5883","003","1"
"H5679","801","0"
"H3952","046","0"
"H5427","072","0"
"H1463","003","0"
"H4007","012","0"
"H0318","801","0"
"H5407","011","0"
"H5696","003","0"
"H4456","021","0"
"H2029","806","0"
"H3660","802","0"
"H4004","813","0"
"H3154","805","0"
"H6622","002","0"
"H5416","018","0"
"H3328","803","0"
"H6642","002","0"
"H4520","006","0"
"H5416","019","0"
"H9847","803","0"
"H9184","002","0"
"H1463","801","0"
"H6609","002","0"
"H0564","811","0"
"H8145","120","0"
"H5696","004","0"
"H4004","804","0"
"H5162","006","0"
"H0303","034","0"
"H3335","005","0"
"H3924","003","0"
"H5774","802","0"
"H7281","002","0"
"H2063","001","0"
"H5549","002","0"
"H1355","001","0"
"H5415","039","0"
"H3952","802","0"
"H5850","805","0"
"H5700","002","0"
"H2542","002","0"
"H3347","005","0"
"H4407","001","0"
"H3957","037","0"
"H6609","807","0"
"H5774","008","0"
"H1961","804","0"
"H2169","002","0"
"H9572","002","5"
"H4524","802","0"
"H3361","098","0"
"H8468","001","0"
"H3920","001","0"
"H8578","802","0"
"H0545","801","0"
"H3322","002","0"
"H3659","054","0"
"H4529","027","0"
"H5005","001","0"
"H8604","006","0"
"H8145","100","0"
"H5106","016","0"
"H0544","024","0"
"H5480","803","0"
"H2816","014","0"
"H5774","003","0"
"H3864","007","0"
"H9572","003","6"
"H0544","009","0"
"H3335","041","0"
"H3924","802","0"
"H5928","016","0"
"H3404","001","0"
"H0544","003","0"
"H4910","005","0"
"H5475","001","0"
"H4564","006","0"
"H4003","805","0"
"H3954","802","0"
"H5520","010","0"
"H2944","078","0"
"H2773","003","0"
"H0332","808","0"
"R9943","806","0"
"H3351","002","0"
"H0710","002","0"
"R5826","834","0"
"H2663","005","0"
"H1019","032","0"
"H3370","803","0"
"H1019","058","0"
"H1291","801","0"
"H2654","807","0"
"H3410","001","1"
"H2108","020","0"
"H2997","003","0"
"H3307","804","0"
"H4454","012","0"
"H4203","002","0"
"R5826","080","0"
"H8050","001","0"
"H5106","018","0"
"H3887","801","0"
"H3342","001","0"
"R5826","801","0"
"H6609","801","0"
"H5426","803","0"
"H4604","010","0"
"H5253","801","0"
"H6642","005","0"
"H9859","804","0"
"H0401","804","0"
"H5415","806","0"
"H7526","003","0"
"H5970","802","0"
"H5009","002","0"
"H5162","008","0"
"H2169","803","0"
"H4036","003","0"
"H2816","802","0"
"H5533","802","0"
"H0755","812","0"
"H5162","003","0"
"H0544","015","0"
"H4011","818","0"
"H0104","010","4"
"H2944","044","0"
"H3362","020","0"
"H5793","801","0"
"H2322","004","0"
"H1019","056","0"
"H5526","002","0"
"H5826","005","0"
"H3493","001","0"
"H0755","030","0"
"H1032","133","0"
"H2169","005","0"
"H9047","033","0"
"H7306","801","0"
"H1777","008","0"
"H0602","039","0"
"H1019","027","0"
"H6900","002","0"
"H5823","002","0"
"R6801","008","0"
"H8145","061","0"
"H2775","085","0"
"H6050","999","0"
"H8991","017","0"
"H2322","001","0"
"H1080","808","0"
"H7179","007","0"
"H8655","004","0"
"H5404","135","0"
"H3307","012","0"
"H5520","001","0"
"H7341","001","1"
"H1230","803","0"
"H5520","004","0"
"H2174","005","0"
"H5649","002","0"
"H2165","011","0"
"H2610","011","0"
"H5378","803","0"
"H1417","005","0"
"H1777","009","0"
"H9572","002","1"
"H9011","020","0"
"H5698","160","0"
"H5679","002","0"
"H5416","016","0"
"H4506","010","0"
"H2593","014","0"
"H1608","803","0"
"H3907","801","0"
"H6609","018","0"
"H2593","011","0"
"H8098","001","0"
"H6328","003","0"
"H8145","006","0"
"H1076","805","0"
"H1607","804","0"
